,freq_sta0,time_sta0,freq_sta4,time_sta4,round_time,consumption_sta1,consumption_sta0,consumption_sta3,consumption_sta2,consumption_sta5,consumption_sta4,mean_acc,freq_sta1,time_sta1,freq_sta2,time_sta2,freq_sta3,time_sta3,freq_sta5,time_sta5
13,1.5748468941382328,15.192786931991577,2.1,16.055556058883667,16.055556058883667,1.7776920920275672,1.56034501126967,1.5736553633687902,1.5603105464056601,1.3600506562754857,1.6651467384332013,0.9742926160494486,,,,,,,1.3,15.251331806182861
14,1.3,17.555664777755737,,,25.412065029144287,1.7776920920275672,1.684324929941012,2.122980466903446,2.0867501934041894,1.4573311747570932,1.6651467384332013,0.9753238062063853,,,2.4134964789188245,25.412065029144287,2.4134964789188245,22.943107843399048,1.3,14.353801727294922
15,1.3522479398218403,16.422792434692383,1.8031725396263234,18.94681215286255,18.94681215286255,2.178251927638363,1.8407451681142946,2.122980466903446,2.0867501934041894,1.567992585291246,1.92455942080564,0.9772106210390726,2.7044958796436807,16.26152777671814,,,,,1.3,14.183844327926636
16,1.5748468941382328,16.95700192451477,2.1,17.634350299835205,17.634350299835205,2.178251927638363,1.957110496157116,2.122980466903446,2.111547852217957,1.6824515002379945,2.1801654778638277,0.9773467282454172,,,,,,,1.3,13.562520742416382
17,2.3,12.358330011367798,,,12.358330011367798,2.178251927638363,2.1440442037490706,2.122980466903446,2.142064146286718,1.787356793666155,2.1801654778638277,0.9778330822785696,,,,,,,1.5334824032665761,12.097437381744385
18,,,,,11.20536494255066,2.218301782964491,2.1440442037490706,2.122980466903446,2.1821294283034303,1.8979840143303717,2.1801654778638277,0.9774730702241262,,,,,,,2.1,11.20536494255066
19,,,,,23.899321794509888,2.2431079681840584,2.1440442037490706,2.592203395966124,2.206925317935682,2.0200630356826954,2.1801654778638277,0.9774634838104248,,,,,2.5,23.899321794509888,1.3,13.099758386611938
20,1.3,18.883049249649048,1.4400839944003732,22.772632122039795,23.487504243850708,2.2431079681840584,2.2928295684940587,2.6170087275913727,2.7715195563458974,2.0982740663826354,2.3747166579585905,0.9795838991800944,,,2.7,23.487504243850708,,,1.3,12.932647228240967
21,1.3522479398218403,17.50605344772339,1.8031725396263234,18.269744157791138,19.272873163223267,2.6436699512919146,2.4244490466198436,2.6418168234633943,2.7963300731194924,2.2337003224205416,2.60933470168337,0.9800796806812286,2.7044958796436807,19.272873163223267,,,,,1.3,13.338298559188843
22,2.3,11.155341625213623,,,13.531929969787598,2.6436699512919146,2.6552590662165927,2.6418168234633943,2.7963300731194924,2.3386047781499952,2.60933470168337,0.9809743463993073,,,,,,,1.5334824032665761,13.531929969787598
23,,,2.1,17.298351526260376,17.298351526260376,2.6436699512919146,2.6552590662165927,2.6418168234633943,2.7963300731194924,2.428254138007623,2.864954627662247,0.9794961710770925,,,,,,,1.3,12.590852975845337
24,1.3,18.242421865463257,,,22.36792278289795,2.998455939500654,2.7792408669282893,3.156804676132062,2.8211376110555624,2.5255297002376826,2.889755166760747,0.9804394543170929,1.9999222274070618,21.322328090667725,,,2.5,22.36792278289795,1.3,13.478249073028564
25,1.3,19.04641366004944,,,22.618967533111572,2.998455939500654,2.9280231638203404,3.156804676132062,3.3609228475439257,2.6266196972957294,2.889755166760747,0.9807117382685343,,,2.7,22.618967533111572,,,1.3,15.570892572402954
26,1.5748468941382328,15.354271173477173,2.1,18.57442831993103,18.57442831993103,2.998455939500654,3.069174839360065,3.1816021060490276,3.3609228475439257,2.7162662197867737,3.1453414639847534,0.9827156364917755,,,,,,,1.3,13.055593967437744
27,1.45,14.721319675445557,,,15.9535813331604,3.414268766404372,3.1798174644610158,3.206399273688412,3.385722361375507,2.8459641315304216,3.1453414639847534,0.9816553592681885,2.9,15.9535813331604,,,,,1.3,12.874765872955322
28,1.5748468941382328,14.440139532089233,2.1,17.932125568389893,17.932125568389893,3.414268766404372,3.3266955672842955,3.206399273688412,3.385722361375507,2.9356168453619906,3.3761334913392926,0.9827934404214224,,,,,,,1.3,14.95809817314148
29,,,,,21.14312243461609,3.414268766404372,3.351494523179929,3.7080341390498295,3.385722361375507,3.032904340427314,3.400928285763936,0.9823946456114451,,,,,2.5,21.14312243461609,1.3,12.77044129371643
30,2.3,10.302515745162964,,,10.679598808288574,3.444806734138882,3.5822911475451904,3.7080341390498295,3.385722361375507,3.1683410637251432,3.400928285763936,0.9811398784319559,,,,,,,1.5334824032665761,10.679598808288574
31,,,1.3687525881460316,21.058194160461426,21.6424617767334,3.7557298151116667,3.5822911475451904,3.7080341390498295,3.872108937365788,3.2446425181024017,3.6107399773652245,0.9823464552561442,2.05292929741471,19.843058586120605,2.5662614141705564,21.6424617767334,,,1.3,12.979873180389404
32,1.5748468941382328,14.842139959335327,2.1,16.59836506843567,16.59836506843567,3.7557298151116667,3.6986571527410406,3.7080341390498295,3.872108937365788,3.334286413048928,3.841523848681686,0.9828811784585317,,,,,,,1.3,13.589855909347534
33,2.3,12.192666053771973,,,12.192666053771973,3.7862635784570413,3.88559734733188,3.7080341390498295,3.872108937365788,3.4391913122659323,3.841523848681686,0.9834939738114675,,,,,,,1.5334824032665761,12.06230902671814
34,,,,,21.576516151428223,3.7862635784570413,3.910402343559737,4.2077859276618526,3.872108937365788,3.5364656918625306,3.841523848681686,0.9829686681429545,,,,,2.5,21.576516151428223,1.3,13.087618589401245
35,,,1.8593588597214992,20.700077533721924,20.700077533721924,4.184913173308611,3.910402343559737,4.2077859276618526,3.8969058300111006,3.6223113448401127,4.0761400675903054,0.9826671878496805,2.788767166972199,19.853461503982544,,,,,1.3,13.19801664352417
36,1.3,19.747051000595093,,,22.403316020965576,4.184913173308611,4.059195637035549,4.23258822481494,4.409983141493491,3.7234003579598314,4.0761400675903054,0.9831729829311371,,,2.7,22.403316020965576,,,1.3,14.017141342163086
37,1.5748468941382328,14.741979360580444,2.1,15.106046915054321,15.106046915054321,4.184913173308611,4.206062287071033,4.23258822481494,4.409983141493491,3.813051081660894,4.306932258669637,0.9843306044737498,,,,,,,1.3,13.074432373046875
38,,,,,20.39465832710266,4.596907120971475,4.230870177889669,4.23258822481494,4.434784518290698,3.9179558203322307,4.306932258669637,0.983960747718811,2.9,20.39465832710266,,,,,1.3,12.902354955673218
39,1.3,18.842569589614868,,,21.31261444091797,4.596907120971475,4.354847828257297,4.686542259025785,4.459580107495896,4.015231237912231,4.331732014114511,0.9845250844955444,,,,,2.5,21.31261444091797,1.3,12.795987367630005
