,T,freq_sta0,tgt_acc_sta0,n_epochssta0,time_sta0,freq_sta2,tgt_acc_sta2,n_epochssta2,time_sta2,freq_sta3,tgt_acc_sta3,n_epochssta3,time_sta3,freq_sta4,tgt_acc_sta4,n_epochssta4,time_sta4,round_time,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta4,consumption_sta2,mean_acc,freq_sta1,tgt_acc_sta1,n_epochssta1,time_sta1,freq_sta5,tgt_acc_sta5,n_epochssta5,time_sta5
10,26.04888275739738,1869001589.7864885,0.9661087569302721,7.0,7.863749265670776,1756631243.0589042,0.9586843469223622,5.0,15.261204957962036,1323748376.450021,0.9551418350995159,5.0,13.486226081848145,1330700095.9139676,0.9820849428284449,6.0,12.905975341796875,15.261204957962036,1.3657223470221784,0.7470984416291664,2.3278869223346064,1.0435488929557393,0.784269566812726,2.6473245287276193,0.9501721461613973,,,,,1969054290.700079,0.9661117438558355,5.0,6.986072301864624
11,12.383279698243044,1312724193.3992648,0.9684600582902599,6.0,7.214596271514893,,,,,1361397464.4509842,0.9553657274572638,6.0,9.492060899734497,1580246194.1240911,0.9682774478041661,7.0,12.085175037384033,12.085175037384033,1.4057773859070903,0.8272163050693102,2.507191002049929,1.2081259878141053,0.9899588206877727,2.6873303818230703,0.9528175989786783,,,,,1516036402.2839956,0.9692737768514625,6.0,9.13752269744873
12,23.320040812228523,1644898195.6132717,0.9625765569526032,5.0,8.195875406265259,1333086186.7052684,0.9531597483647029,5.0,4.694242715835571,1508395046.5941658,0.966921772423254,5.0,15.25269103050232,1525218533.994595,0.9616530480167896,5.0,10.621371507644653,15.25269103050232,1.4057773859070903,0.8672712374536253,2.8279575021961456,1.3340407838523325,1.1600948348798152,2.8178013241575854,0.955462912718455,,,,,,,,
13,52.323744438893726,1595254105.2864585,0.9926631747577277,8.0,10.864338636398315,1533839570.7337315,0.9661029255661377,5.0,12.626765489578247,,,,,1318094218.587446,0.9674539846717566,5.0,11.76927638053894,12.626765489578247,1.4057773859070903,0.9473809925425449,2.8680118369054846,1.4599268628795292,1.2882077634483562,3.099802145197682,0.957427978515625,,,,,1820536515.3390403,0.9668120370025309,5.0,8.418549299240112
14,44.93411272956835,1988870822.9977753,0.9549913413932204,5.0,3.392223358154297,1316642693.7180483,0.9525010765676218,6.0,5.238621950149536,,,,,2022777042.553611,0.9661633100234496,7.0,14.430213212966919,14.430213212966919,1.4887558441870863,0.9473809925425449,2.8680118369054846,1.499988312464405,1.4563755624083197,3.148406964378733,0.9592176477114359,1311076430.9852722,0.9462854686713723,6.0,4.296873569488525,,,,
15,75.65335683101566,1789774524.7728531,0.9547632022842996,6.0,3.9937636852264404,1423866633.07273,0.966704941080514,5.0,14.218461036682129,1671104233.5293949,0.9594101460737083,5.0,5.9181036949157715,,,,,14.218461036682129,1.4887558441870863,1.0729540472479364,2.9560667795428053,1.499988312464405,1.4563755624083197,3.479330642397425,0.9609779814879099,,,,,1340986749.4746342,0.9836373048625983,9.0,9.269286632537842
16,22.158358256204362,,,,,1324920778.8336482,0.9804156257699153,6.0,16.984192371368408,1321171141.3656757,0.982354652947328,7.0,18.881532192230225,1591571291.4334643,0.9745909345299183,6.0,13.116510152816772,18.881532192230225,1.6188001753419141,1.0729540472479364,3.4076874381848903,1.5400454161891963,1.6219976124872784,3.817139723728328,0.9630011518796285,1307338666.3679671,0.9627115859737299,6.0,7.169276237487793,,,,
17,40.4002420222122,,,,,1368881155.7736716,0.9574048686245809,7.0,5.915929794311523,1377739086.7629464,0.9614036395444024,7.0,5.746081113815308,1667216684.2836335,0.975406262656952,7.0,14.606461524963379,14.606461524963379,1.7087752108382301,1.0729540472479364,3.501158673606067,1.5801001196767095,1.8271784007332184,3.9150511215297605,0.9643140435218811,1319481867.9182446,0.9662878600553587,6.0,7.086825132369995,,,,
18,47.7101736154012,1379263374.9806807,0.9680329878467429,5.0,5.145895004272461,,,,,1300572081.2203465,0.9835394672789644,7.0,17.52975344657898,,,,,17.52975344657898,1.7512205856247545,1.0729540472479364,3.953991688918027,1.659876615330875,1.8271784007332184,3.9150511215297605,0.9654423097769419,1821444588.3363643,0.9648421513704989,5.0,5.564689636230469,1481183195.9240966,0.9629745228002994,5.0,4.967623949050903
19,35.76543618937398,2096992499.7979174,0.9831598110068807,7.0,8.716637372970581,,,,,1305710086.9228318,0.9819449865270582,6.0,15.710719108581543,1364718989.309188,0.9755782780085928,6.0,12.06470274925232,15.710719108581543,1.9923792759314662,1.0729540472479364,4.316714427284776,1.8286764174303747,1.992800700373267,3.9150511215297605,0.9652963578701019,1560146956.5837061,0.9785215661553632,6.0,14.19057822227478,,,,
20,25.479343242803324,1455360491.8322148,0.9804816532202767,6.0,8.046151161193848,1573915385.931034,0.9679238533980046,5.0,6.043087005615234,,,,,1331822821.056444,0.9830365909380717,7.0,13.65834927558899,13.65834927558899,1.9923792759314662,1.233183986536229,4.316714427284776,1.994614588296182,2.240968964147961,4.0059820078090205,0.966191440820694,,,,,1385891248.4485936,0.9929917173833512,10.0,11.742167234420776
21,48.303843133780745,2107726361.1738493,0.9803165679415625,7.0,8.201143503189087,,,,,1590285439.6888542,0.9750795913066491,9.0,11.870370388031006,1777783107.6826985,0.9655612529565876,7.0,5.3974738121032715,15.853833198547363,2.334754667212405,1.233183986536229,4.588531532729643,2.1634260927445883,2.2864278972400607,4.0059820078090205,0.966871956984202,1396492499.888847,0.9901671345275687,7.0,15.853833198547363,2040759694.1728005,0.9583395998386708,9.0,5.070887565612793
22,17.285351131434332,,,,,1320741279.5778887,0.9695318816277061,7.0,6.1753785610198975,1357205303.5518484,0.9833821137847374,6.0,14.636947393417358,1791804831.3060975,0.9635108294680818,5.0,5.2848827838897705,15.701826095581055,2.664420897481183,1.233183986536229,4.908868377686655,2.203506769660658,2.3318883388256575,4.055890802783278,0.9683113594849905,1482916053.1063483,0.9770210154187602,6.0,15.701826095581055,,,,
23,19.463086800251627,1472477222.199287,0.9647970881178337,9.0,4.647001028060913,1379681578.3920426,0.9646514891168262,9.0,6.249999284744263,1381892405.6983626,0.96564152345477,5.0,5.44775390625,,,,,6.249999284744263,2.664420897481183,1.233183986536229,5.002332016595279,2.2435726843226877,2.3318883388256575,4.097795043280751,0.9686617155869802,,,,,1753246850.627417,0.9686732091498264,6.0,4.8008787631988525
24,45.97041678912718,,,,,1574589693.7941103,0.9789619710053835,6.0,15.146528005599976,1320769157.835924,0.9656722602319774,6.0,5.616830110549927,1329806211.9871402,0.9685765493605304,5.0,5.5545148849487305,15.146528005599976,2.953486228810807,1.233183986536229,5.050335174179285,2.2435726843226877,2.3773499535073492,4.483478419655501,0.9690506756305695,1956653479.791666,0.982514876712996,6.0,12.557205438613892,,,,
25,22.326687044511736,,,,,1317534634.448318,0.9650092011564524,5.0,5.571567058563232,1496398681.5310674,0.9648608564012799,5.0,5.726994276046753,1708641302.9688997,0.9905566024533301,7.0,12.890027284622192,12.890027284622192,2.9935415681227693,1.2732404957651688,5.143790278734304,2.2435726843226877,2.6226922192397675,4.611593417832605,0.9697511196136475,,,,,1613243299.9905753,0.9730647027771197,8.0,5.139327049255371
26,41.38527282804064,,,,,,,,,1465346765.5065398,0.9663319545454547,5.0,6.1775829792022705,1337591665.1925259,0.9984232001703703,14.0,20.875813245773315,20.875813245773315,3.0336120193922125,1.4334606513048094,5.233743607184092,2.2435726843226877,3.028642558594961,4.611593417832605,0.9699651996294657,1474605761.4055307,0.964519841504405,5.0,4.7483227252960205,1722768105.0405643,0.9978610832226099,13.0,12.855319499969482
27,20.680061118881532,1753814512.2603292,0.9637755457995815,5.0,3.3846347332000732,1338596517.6126187,0.98302170354985,6.0,16.580379486083984,1373085359.9836078,0.9842535992913677,8.0,19.33711338043213,1530790617.292329,0.9682427414076709,5.0,5.59509015083313,19.33711338043213,3.0336120193922125,1.4334606513048094,5.730686005488334,2.2435726843226877,3.0741012739171873,4.942201525052592,0.9707138339678446,,,,,,,,
28,26.792790905636036,,,,,1489043783.1251116,0.9820184969705404,6.0,16.69900894165039,1349894733.4067795,0.9861708224915043,7.0,17.94917392730713,1424941526.9271193,0.9909753338991413,8.0,14.503843307495117,17.94917392730713,3.0336120193922125,1.4732247226178963,6.182245844343189,2.2435726843226877,3.2797761867718913,5.318277773692191,0.971404512723287,,,,,1324197777.9444861,0.9679338972646155,5.0,4.058684825897217
29,47.97893713945129,,,,,1402453427.960219,0.9662056764552692,6.0,5.2070701122283936,1324089715.7831616,0.978194813724981,14.0,5.9247355461120605,1365102027.7229824,0.9651381559454957,17.0,7.031712532043457,7.031712532043457,3.0336120193922125,1.4732247226178963,6.2302478447267085,2.2835133765395046,3.32523532968606,5.3580331040087295,0.9711418151855469,,,,,,,,
