,freq_sta5,time_sta5,round_time,consumption_sta0,consumption_sta1,consumption_sta4,consumption_sta5,consumption_sta2,consumption_sta3,mean_acc,freq_sta0,time_sta0,freq_sta2,time_sta2,freq_sta3,time_sta3,freq_sta1,time_sta1,freq_sta4,time_sta4
28,1.3,13.451616048812866,22.48172879219055,3.1911544797621616,3.2349627649096346,3.336095403534056,3.0652897946379793,3.2597802455504645,3.563073771766439,0.9201725025971731,,,,,2.5,22.48172879219055,,,,
29,1.3,14.073386669158936,23.394464015960693,3.29033946412747,3.5954629852890703,3.336095403534056,3.1911864728586634,3.8167286187173186,3.563073771766439,0.9588847160339355,1.3,18.201291799545288,2.647602566642086,23.394464015960693,,,2.1222060448504942,19.290823459625244,,
30,1.3,15.631239891052246,15.939576148986816,3.437205737436969,3.6202591149450454,3.526834024482941,3.280844503772154,3.8167286187173186,3.563073771766439,0.9759345750013987,1.5734693877551018,13.715400457382202,,,,,,,2.1,15.939576148986816
31,1.3,16.306326866149902,16.340840101242065,3.584077197484369,3.6202591149450454,3.757633042727239,3.395296906287025,3.8167286187173186,3.563073771766439,0.938739409049352,1.5734693877551018,15.839824676513672,,,,,,,2.1,16.340840101242065
32,1.3,14.15188193321228,23.037572622299194,3.708068061873526,3.9502508269260614,3.757633042727239,3.492571376488608,3.8167286187173186,4.03228370616702,0.9830600023269653,1.3,20.304883003234863,,,2.5,23.037572622299194,2.0034259908121155,19.712568521499634,,
33,1.3,14.127522945404053,15.808462142944336,3.8549403389553376,3.9502508269260614,3.988435416535051,3.5822189337839303,3.8167286187173186,4.057089888207463,0.9751874804496765,1.5734693877551018,14.83802056312561,,,,,,,2.1,15.808462142944336
34,1.3,15.04835033416748,23.706018209457397,4.003734848445397,3.9502508269260614,3.988435416535051,3.708106998172954,4.3565231970563385,4.081886896890735,0.9441880583763123,1.3,18.4638934135437,2.7,23.706018209457397,,,,,,
35,1.3,16.413002729415894,20.37337017059326,4.108639211980311,4.35081733869352,4.259279807543148,3.8187332825856783,4.3565231970563385,4.081886896890735,0.9879370927810669,1.3508917633653788,16.81111240386963,,,,,2.704937359641338,19.315480709075928,1.802941147215272,20.37337017059326
36,1.3,18.253225326538086,25.20264172554016,4.257422041375321,4.375633204340256,4.259279807543148,3.940802947781303,4.3565231970563385,4.60832762796994,0.980905701716741,1.3,21.061044692993164,,,2.5,25.20264172554016,,,,
37,1.3,15.159658432006836,16.80471420288086,4.404300714851047,4.375633204340256,4.4900870469975125,4.030454159477624,4.3565231970563385,4.60832762796994,0.9372170170148214,1.5734693877551018,14.195984125137329,,,,,,,2.1,16.80471420288086
38,1.3,15.390051364898682,21.15289878845215,4.429096385123863,4.718979200710375,4.4900870469975125,4.131563258291545,4.88679004464815,4.60832762796994,0.9778050680955251,,,2.647602566642086,21.15289878845215,,,2.1222060448504942,18.80665874481201,,
39,1.3,15.838597297668457,15.838597297668457,4.545448101754886,4.718979200710375,4.720885014541917,4.2460080181966005,4.88679004464815,4.633121174589112,0.9783135751883189,1.5734693877551018,14.39737606048584,,,,,,,2.1,15.274694204330444
