,time_sta4,time_sta5,round_time,consumption_sta1,consumption_sta0,consumption_sta3,consumption_sta2,consumption_sta4,consumption_sta5,mean_acc,time_sta0,time_sta1,time_sta2,time_sta3
13,,12.665071725845337,25.65190291404724,1.9399438258842896,1.9828325086004104,2.1946233865845635,2.251234709044317,1.7954555201014113,1.6636164743097743,0.9687709510326385,11.418102502822876,,24.75164532661438,25.65190291404724
14,19.587015867233276,13.152472972869873,19.587015867233276,2.2837358308483298,2.0178047462121396,2.1946233865845635,2.291289282187821,2.0354329884717313,1.7806983447102644,0.9615281224250793,,14.892648220062256,,
15,15.463126420974731,10.453173398971558,15.463126420974731,2.2837358308483298,2.2632119248516536,2.1946233865845635,2.291289282187821,2.2737675341644437,1.8973345403246653,0.9154882927735647,10.728496789932251,,,
16,,12.933792352676392,21.350698709487915,2.2837358308483298,2.2969161504903153,2.567512519099118,2.291289282187821,2.2737675341644437,2.0127703947616253,0.9364378949006399,,,,21.350698709487915
17,14.811804294586182,13.324238777160645,14.811804294586182,2.6551228090381516,2.2969161504903153,2.6034539041724827,2.3313438632791326,2.5175752423688866,2.1329501099456016,0.9682366450627645,,14.443395853042603,,
18,,13.735522270202637,23.351919651031494,2.6551228090381516,2.510226423179017,2.6034539041724827,2.9041436100713676,2.5175752423688866,2.2556775021482145,0.9407248596350352,11.939010381698608,,23.351919651031494,
19,15.655619621276855,10.252028465270996,15.655619621276855,2.6551228090381516,2.6818535283504628,2.6034539041724827,2.9041436100713676,2.716187956155922,2.3731483238465407,0.9339489738146464,11.20620846748352,,,
20,,10.496426343917847,19.865848779678345,3.0563676087855827,2.721908475040831,3.021025470765906,2.9041436100713676,2.716187956155922,2.5292104243641282,0.9807555079460144,,15.468827962875366,,19.865848779678345
21,16.434505462646484,11.111378908157349,16.434505462646484,3.0563676087855827,2.8935710528580256,3.021025470765906,2.9400550414551554,2.9538737653992815,2.6453094103158583,0.9803620676199595,10.65047287940979,,,
22,,11.901556730270386,11.901556730270386,3.0563676087855827,3.064245770900183,3.061080183790793,2.9400550414551554,2.993928214557018,2.765254933871771,0.9253288904825846,10.395893096923828,,,
23,,13.221035242080688,24.326119661331177,3.0909499683853427,3.064245770900183,3.061080183790793,3.4327820333724426,2.993928214557018,2.8911751328282143,0.8606788416703542,,,24.326119661331177,
24,15.709757328033447,11.723014831542969,19.248334407806396,3.0909499683853427,3.2713998721006914,3.433587901116738,3.4327820333724426,3.2749708179576746,3.0092922160292424,0.9311422804991404,11.302473783493042,,,19.248334407806396
25,,11.95263409614563,14.111088037490845,3.450797664391307,3.2713998721006914,3.4689064595868686,3.4327820333724426,3.2749708179576746,3.1285404531707903,0.9788059294223785,,14.111088037490845,,
26,16.854257345199585,11.768304586410522,16.854257345199585,3.450797664391307,3.480251301886956,3.4689064595868686,3.472836555649993,3.5161851270076756,3.2479284270400632,0.8934189677238464,12.035852909088135,,,
27,,13.62398362159729,13.62398362159729,3.490275740279718,3.520305770119425,3.508748343095462,3.5125731529888307,3.5161851270076756,3.443273812269259,0.9226401050885519,,,,
28,,13.447859525680542,13.762642860412598,3.8596017237345324,3.520305770119425,3.548489038322849,3.5125731529888307,3.5161851270076756,3.567481608831931,0.8132091164588928,,13.762642860412598,,
29,18.427534103393555,12.234657287597656,25.433543920516968,3.8596017237345324,3.7251627743044122,3.969289423177088,4.1065775178383905,3.7557293716240867,3.7211564222261138,0.9915912449359894,10.31390643119812,,25.433543920516968,19.06635046005249
30,19.347519397735596,8.869357824325562,19.347519397735596,3.8596017237345324,3.937873524945321,3.969289423177088,4.1065775178383905,3.9911693869367912,3.8410020657096076,0.9489616254965464,11.086430072784424,,,
31,,10.526498556137085,16.370776176452637,4.226519280492728,4.146769831220876,3.969289423177088,4.1065775178383905,4.027396529000663,3.9614942727124194,0.9569039543469747,10.272566795349121,16.370776176452637,,
32,19.42822241783142,9.721351146697998,19.748632669448853,4.264030295170433,4.186157071639595,4.372161022683777,4.139582981949973,4.263649027811015,4.0792465659445,0.9727321267127991,,,,19.748632669448853
33,,9.451531410217285,23.335095167160034,4.264030295170433,4.396165482555315,4.372161022683777,4.644846944082504,4.263649027811015,4.209859171554802,0.9502341747283936,11.599808692932129,,23.335095167160034,
34,15.606017112731934,9.040234088897705,15.606017112731934,4.629152830506539,4.396165482555315,4.372161022683777,4.644846944082504,4.527840018309307,4.326446866480579,0.9772909979025522,,14.16926884651184,,
35,,11.482396841049194,20.684776544570923,4.629152830506539,4.565367111397659,4.775938204692821,4.679824284185395,4.527840018309307,4.4782555303616345,0.9706284503142039,12.219512224197388,,,20.684776544570923
36,18.087979555130005,9.339398860931396,18.087979555130005,4.662986029954635,4.736096934754858,4.775938204692821,4.679824284185395,4.77104606650626,4.595053625954327,0.9507192373275757,11.199958801269531,,,
37,,11.729736804962158,21.3892023563385,5.029453318095126,4.736096934754858,4.814558227545646,5.228512669942264,4.77104606650626,4.717136441589018,0.971664160490036,,15.945590257644653,21.3892023563385,
38,19.125222206115723,10.702538967132568,20.592667818069458,5.029453318095126,4.904311549468662,5.228992517113113,5.228512669942264,5.012567547114047,4.868984313584432,0.9802347123622894,11.136441707611084,,,20.592667818069458
39,19.26752018928528,9.951244592666626,19.26752018928528,5.432369132833689,5.112621306104646,5.228992517113113,5.228512669942264,5.288091005179142,4.985906156509612,0.9898134569327036,11.169963121414185,15.71568512916565,,
